,timestamp,time,name,startTime,endTime,minUsed
155,1557104195528,29740,카카오톡,2019-05-06 00:56:35.528,2019-05-06 00:57:05.268,0.49566666666666664
156,1557104225286,205,Samsung Experience 홈,2019-05-06 00:57:05.286,2019-05-06 00:57:05.491,0.003416666666666667
157,1557104225537,368616,AfreecaTV,2019-05-06 00:57:05.537,2019-05-06 01:03:14.153,6.1436
158,1557104594219,2744,Samsung Experience 홈,2019-05-06 01:03:14.219,2019-05-06 01:03:16.963,0.045733333333333334
159,1557104596963,152974,Samsung Experience 홈,2019-05-06 01:03:16.963,2019-05-06 01:05:49.937,2.5495666666666668
160,1557104749937,7061,Samsung Experience 홈,2019-05-06 01:05:49.937,2019-05-06 01:05:56.998,0.11768333333333333
161,1557104756998,71335,Samsung Experience 홈,2019-05-06 01:05:56.998,2019-05-06 01:07:08.333,1.1889166666666666
162,1557104828333,839,Samsung Experience 홈,2019-05-06 01:07:08.333,2019-05-06 01:07:09.172,0.013983333333333334
163,1557104829197,8862,삼성 인터넷,2019-05-06 01:07:09.197,2019-05-06 01:07:18.059,0.1477
164,1557104838081,2888,Samsung Experience 홈,2019-05-06 01:07:18.081,2019-05-06 01:07:20.969,0.048133333333333334
165,1557104841017,97738,갤러리,2019-05-06 01:07:21.017,2019-05-06 01:08:58.755,1.6289666666666667
166,1557104938768,862,Samsung Experience 홈,2019-05-06 01:08:58.768,2019-05-06 01:08:59.630,0.014366666666666666
167,1557104939657,105979,삼성 인터넷,2019-05-06 01:08:59.657,2019-05-06 01:10:45.636,1.7663166666666668
168,1557105045658,1001,Samsung Experience 홈,2019-05-06 01:10:45.658,2019-05-06 01:10:46.659,0.016683333333333335
169,1557105046703,22083,갤러리,2019-05-06 01:10:46.703,2019-05-06 01:11:08.786,0.36805
170,1557105068809,1010,Samsung Experience 홈,2019-05-06 01:11:08.809,2019-05-06 01:11:09.819,0.016833333333333332
171,1557105069845,240796,삼성 인터넷,2019-05-06 01:11:09.845,2019-05-06 01:15:10.641,4.0132666666666665
172,1557105310668,14210,Samsung Experience 홈,2019-05-06 01:15:10.668,2019-05-06 01:15:24.878,0.23683333333333334
173,1557105324923,21955,삼성 인터넷,2019-05-06 01:15:24.923,2019-05-06 01:15:46.878,0.36591666666666667
